Plot_ID,Treatment3,Forest_1km,Forest_500m,Forest_100m,Distance_forest,Distance_edge,Cacao_1km,Pasture_1km,Cacao_Reg1_1km,Pasture_Reg1_1km,Cacao_Reg2_1km,Pasture_Reg2_1km
CA59,active,0.334744548,0.248889287,0.042631574,66.69161594,0,0.104455453,0.364565424,0,0.02086769,0,0.238789131
CA60,active,0.719369501,0.593923654,0.133244033,17.96248297,0,0.093563555,0.068888324,0.002687054,0.047721523,0,0.030848394
CA61,active,0.797493026,0.57519646,0.072310924,54.99200716,0,0.037159297,0.040809053,0,0.118054456,0,0.006492066
CA62,active,0.27522591,0.235225913,0,131.6154019,0,0.173076976,0.325901994,0.011717153,0.074895191,0,0.140092262
CA63,active,0.831878546,0.563946651,0,143.8804478,0,0.035950858,0.070961582,0.000878625,0.060330387,0,0
CA64,active,0.675527478,0.582582413,0.160620653,35.0712228,0,0.043216191,0.094795001,0,0.092206374,0,0.094350404
CR01,regeneration early,0.768249859,0.535918125,0.234387792,31.84108761,0,0,0,0.001567733,0.168387719,0,0.061794687
CR02,regeneration early,0.895991028,0.893265233,0.560552882,36.42346323,0,0.007981536,0.042462581,0.00301162,0.028721234,0,0.002383766
CR03,regeneration early,0.737336434,0.768260698,0.53068171,33.08483423,0,0.006078268,0.039310394,0.004644053,0.135164401,0,0.040375475
CR04,regeneration late,0.971251414,0.962725896,0.546549509,29.41603101,0,0,0.002791237,0,0.01664005,0.005927712,0.00338958
CR05,regeneration early,0.411590463,0.13657452,0.10174733,65.63923036,0,0.10310471,0.284014096,0.015250496,0.10158618,0,0.084656763
CR06,regeneration late,0.411259258,0.366151373,0.343482894,28.96937446,0,0.155208943,0.208487335,0.017342591,0.025756147,0.002048067,0.180407902
CR07,regeneration late,0.553770075,0.571264137,0,114.9120538,0,0.036956712,0.06369419,0,0.023651661,0.030121228,0.052334115
CR08,regeneration late,0.532030468,0.658700718,0.138152328,49.99140008,0,0.036956712,0.106187601,0,0.003784236,0.030121228,0.057978616
CR09,regeneration early,0.324256687,0.439749031,0.513991744,39.94555503,0,0.082497909,0.112242727,0.003403374,0.288381125,0,0.20498487
CR10,regeneration late,0.966420308,0.918538672,0.515854004,25.04409463,0,0,0.006952204,0,0,0.009881687,0.016745801
CR11,regeneration late,0.899698718,0.913218376,0.631031913,36.46924161,0,0,0,0,0,0.013630359,0.086670923
CR12,regeneration late,0.747679483,0.195127888,0,157.6304012,0,0.001597113,0,0,0,0.013736117,0.236987282
CR13,regeneration early,0.779537585,0.821256337,0.525443333,38.53006813,0,0.044442379,0.03206935,0.010223518,0.010248044,0,0.130339051
CR14,regeneration late,0.986181829,0.962890433,0.832189237,22.71858891,0,0,0.001738635,0,0,0.001676139,0.0104034
CR15,regeneration early,0.819900672,0.739611974,0.184901003,57.5004941,0,0,0.180099323,0,0,0,0
CR16,regeneration early,0.845492002,0.659104745,0.290004195,43.87424496,0,0,0.035813381,0.006736194,0,0,0.111958406
CR17,regeneration early,0.861843995,0.599264901,0.242390779,49.1178021,0,0,0.011357024,0.006736194,0,0,0.120062786
